time,icao,operation,airport,registration,flight,ac_type,ac_size,runway,flight_link,squawk,signal_type,category,year,manufacturer,model,ownop,faa_pia,faa_ladd,short_type,mil,apt_type,name,latitude,longitude,continent,iso_country,iso_region,municipality,scheduled_service,iata_code,elev
1/1/2025 0:37,750423,takeoff,WMKK,9M-LRJ,MXD1900,B38M,medium,,https://globe.adsbexchange.com/?icao=750423&zoom=13.5&showTrace=2025-01-01&timestamp=1735691857,2152,adsb_icao,A3,,,Boeing 737MAX 8,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-10,,yes,KUL,69
1/1/2025 0:38,75020c,takeoff,WMKP,9M-MXL,MAS1133,B738,medium,,https://globe.adsbexchange.com/?icao=75020c&zoom=13.5&showTrace=2025-01-01&timestamp=1735691936,,adsb_icao,A0,,,Boeing 737-8H6,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-07,,yes,PEN,11
1/1/2025 0:42,7501fd,takeoff,WMKJ,9M-AHZ,AXM6026,A320,medium,,https://globe.adsbexchange.com/?icao=7501fd&zoom=13.5&showTrace=2025-01-01&timestamp=1735692144,,adsb_icao,A0,,,Airbus A320-216,,f,f,L2J,f,medium_airport,Senai International Airport,1.640556,103.669861,AS,MY,MY-01,,yes,JHB,135
1/1/2025 0:49,8a074e,landing,WMKP,PK-AZL,AWQ106,A320,medium,4,https://globe.adsbexchange.com/?icao=8a074e&zoom=13.5&showTrace=2025-01-01&timestamp=1735692561,,adsb_icao,A0,,,Airbus A320-216,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-07,,yes,PEN,11
1/1/2025 0:50,7504c3,takeoff,WMKK,9M-VAA,AXM5110,A21N,medium,,https://globe.adsbexchange.com/?icao=7504c3&zoom=13.5&showTrace=2025-01-01&timestamp=1735692646,,adsb_icao,A3,,,Airbus A321-251NX,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-10,,yes,KUL,69
1/1/2025 0:50,750466,takeoff,WMKP,9M-AGT,AXM6413,A320,medium,4,https://globe.adsbexchange.com/?icao=750466&zoom=13.5&showTrace=2025-01-01&timestamp=1735692648,5476,adsb_icao,A3,,,Airbus A320-216,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-07,,yes,PEN,11
1/1/2025 0:54,71c251,takeoff,WMKP,HL8251,KAL341,B77L,big,,https://globe.adsbexchange.com/?icao=71c251&zoom=13.5&showTrace=2025-01-01&timestamp=1735692874,5475,adsb_icao,A5,,,Boeing 777-FB5,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-07,,yes,PEN,11
1/1/2025 0:57,75041d,takeoff,WMKK,9M-LCP,MXD2302,B738,medium,,https://globe.adsbexchange.com/?icao=75041d&zoom=13.5&showTrace=2025-01-01&timestamp=1735693020,,adsb_icao,A0,,,Boeing 737NG 800/W,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-10,,yes,KUL,69
1/1/2025 0:57,8a08b1,takeoff,WMKP,PK-MYJ,MYU224,B734,medium,,https://globe.adsbexchange.com/?icao=8a08b1&zoom=13.5&showTrace=2025-01-01&timestamp=1735693022,5103,adsb_icao,A3,,,,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-07,,yes,PEN,11
1/1/2025 0:59,750202,landing,WMKJ,9M-MXB,MAS1037,B738,medium,16,https://globe.adsbexchange.com/?icao=750202&zoom=13.5&showTrace=2025-01-01&timestamp=1735693142,,adsb_icao,A0,,,Boeing 737-8H6,,f,f,L2J,f,medium_airport,Senai International Airport,1.640556,103.669861,AS,MY,MY-01,,yes,JHB,135
